ILO,Question,Option_A,Group_A,Option_B,Group_B,Option_C,Group_C,Option_D,Group_D,Option_E,Group_E
"IR","When it comes to making plans, which of the following statements best describes you?","I like to plan everything in advance and have a detailed schedule","Vista","I enjoy making plans but I am also open to spontaneity and last-minute changes","Plaza","I prefer to go with the flow and let things happen naturally","Ocean","I like to plan, but I am also willing to adjust my plans if necessary","Lands","I am not particularly interested in making plans and prefer to let others take the lead","Reserve"
"IR","Which of the following best describes your ideal way to learn?","Reflecting on your own thoughts and experiences","Vista","Interacting with and learning from locals in a new place","Plaza","Experiencing unique journeys to new destinations","Ocean","Collecting symbols and mementos from your travels","Lands","Understanding the meanings and history behind words and places","Reserve"
"IR","When meeting someone from a different culture, what do you find most important?","Understanding their perspective and experiences","Vista","Learning about their customs and traditions","Plaza","Finding common ground and shared interests","Ocean","Discovering how their culture has shaped their identity","Lands","Respecting their cultural differences while maintaining your own identity","Reserve"
"IR","How do you approach learning about different cultures?","Researching and reading about various cultures","Vista","Engaging in cultural events and activities","Plaza","Making friends from diverse backgrounds","Ocean","Traveling and experiencing different cultures firsthand","Lands","Observing and learning from cultural differences in your everyday life","Reserve"
"IR","Which of these activities would you most enjoy participating in to learn about a new culture?","Attending a lecture or discussion about the culture","Vista","Joining a cultural festival or celebration","Plaza","Taking part in a cultural exchange program","Ocean","Visiting historical sites and museums related to the culture","Lands","Learning a new language spoken by the culture","Reserve"
"IR","How do you handle cultural differences in a team setting?","Encouraging open dialogue and understanding among team members","Vista","Adapting to the customs and norms of the different team members","Plaza","Focusing on common goals and shared values","Ocean","Acknowledging and embracing the unique contributions of each team member","Lands","Balancing the need for unity with the respect for individual differences","Reserve"
"PR","Which of the following best describes your view on travel?","It's a way to learn about new cultures","Field","It's a chance to conquer new territories","Mason","It's a way to defend individual rights","Gate","It's an opportunity to explore the unknown","Labyrinth","I haven't traveled enough to have a strong opinion","Laurel"
"PR","How do you approach new ideas or experiences?","Working with others to achieve a common goal","Field","Setting small, achievable goals","Mason","Sticking to your principles and beliefs","Gate","Embracing the unknown and taking risks","Labyrinth","I am open to new ideas, but prefer to research and analyze before trying them","Laurel"
"PR","What is your approach to personal growth?","Nurturing and supporting each other through teamwork","Field","Striving towards the next goal or challenge","Mason","Be positive about the journey, even when it's difficult","Gate","To explore new ideas","Labyrinth","Embracing lifelong learning","Laurel"
"PR","Which of the following best describes your values?","Perseverance, and preparedness","Field","Continuous improvement and setting new goals","Mason","Appreciating the journey and all its ups and downs","Gate","Never resting on your laurels and constantly seeking new knowledge","Labyrinth","Pursuing common goals with others","Laurel"
"PR","What is your approach to decision-making?","Seeking input and feedback from friends before making a decision","Field","Analyzing data and considering all available options before making a choice","Mason","Trusting your gut and relying on intuition to guide your decisions","Gate","Embracing ambiguity and taking risks, even if it means making mistakes","Labyrinth","Taking time to weigh the pros and cons and considering the impact on others before making a decision","Laurel"
"PR","Which of these goals resonates with you the most?","Exploring new cultures and ideas","Field","Building meaningful relationships","Mason","Creating something new and unique","Gate","Achieving academic excellence","Labyrinth","Finding peace and tranquility","Laurel"
"PR","What type of environment do you prefer?","Active and outdoorsy","Field","Artsy and creative","Mason","Urban and busy","Gate","Exotic and adventurous","Labyrinth","Quiet and introspective","Laurel"
"PR","What type of challenge do you enjoy the most?","Physical challenge","Field","Emotional challenge","Mason","Creative challenge","Gate","Mental challenge","Labyrinth","Social challenge","Laurel"
"SW","When you are faced with a difficult problem, what do you do?","Break it down into smaller parts and tackle them one by one","Circuit","Brainstorm creative solutions with a group of people","Eureka","Research and gather information to make an informed decision","Hunter","Trust your instincts and make a quick decision","Octagon","Avoid making a decision until you have all the information you need","Mission"
"SW","How do you typically approach setting and achieving goals?","By breaking them down into smaller, manageable steps","Civic","By setting ambitious and challenging targets","Eureka","By aligning your goals with your personal values and beliefs","Gate","By constantly adapting and revising your goals as circumstances change","Labyrinth","By striving for a sense of balance and fulfillment in all areas of your life","Laurel"
"SW","What type of role do you prefer in a group project?","Organizer who keeps everyone on track","Circuit","Creative who generates new ideas","Eureka","Researcher who provides necessary information","Hunter","Leader who coordinates and delegates tasks","Octagon","Supporter who helps others and contributes as needed","Mission"
"SW","Which of these values is most important to you?","Determination","Circuit","Creativity","Eureka","Intelligence","Hunter","Intelligence","Octagon","Loyalty","Mission"
"SW","What type of skill would you like to develop?","Technical skills in electronics and programming","Circuit","Critical thinking and problem-solving skills","Eureka","Survival skills and outdoor expertise","Hunter","Analytical and strategic thinking skills","Octagon","Leadership and project management skills","Mission"
"SW","What is your preferred learning style?","Hands-on learning through building and experimenting","Circuit","Inquiry-based learning through questioning and exploring","Eureka","Experiential learning through outdoor activities and challenges","Hunter","Analytical learning through data analysis and problem-solving","Octagon","Collaborative learning through group projects and discussions","Mission"
"IE","Which of the following best describes your approach to building lasting connections?","Building a strong foundation before embarking on new relationships","Pier","Honoring and nurturing existing relationships","Cable","Communicating honestly and authentically with others","Chronicle","Fostering a strong sense of self and identity","Pyramid","Cultivating deep and profound connections with others","Laurel"
"IE","When encountering new challenges, what is your preferred approach?","By standing firm and facing the challenges head on at the edge of a pier","Pier","Finding groups of people with shared problems and working it all out","Cable","Documenting and preserving experiences for future reflection","Chronicle","Building a strong foundation and steadily rising to the top","Pyramid","Looking for multiple people you trust to help with the issue","Laurel"
"IE","How do you prefer to resolve conflicts or disagreements with others?","Addressing the issue directly and honestly with the person involved, aiming for a mutual understanding","Pier","Bringing in diverse perspectives to find a solution that accommodates everyone's needs","Cable","Reflecting on past experiences to find a resolution strategy that worked in similar situations","Chronicle","Focusing on the underlying issues and working together to build a stronger relationship","Pyramid","Seeking guidance from trusted mentors or experts to mediate the conflict","Laurel"
"IE","When working in a team, what role do you usually take on?","The loyal supporter, providing encouragement and backing to your teammates","Pier","The networker, connecting team members and ensuring effective communication","Cable","The historian, documenting the team's progress and providing insights from past experiences","Chronicle","The foundation builder, ensuring that the team has a strong base to work from","Pyramid","The visionary, aligning the team's efforts with its values and long-term goals","Laurel"
"IE","How do you approach giving and receiving feedback?","Prioritizing open and honest communication, even if it's difficult to hear or share","Pier","Focusing on the diverse perspectives and experiences that inform the feedback","Cable","Reflecting on past situations to contextualize the feedback and learn from it","Chronicle","Using feedback as an opportunity to strengthen relationships and promote growth","Pyramid","Considering how the feedback aligns with your values and long-term goals","Laurel"
"IE","What do you value most in a friend or close relationship?","Unconditional loyalty and support through thick and thin","Pier","A diverse range of perspectives and experiences to learn from","Cable","Openness and authenticity in communication","Chronicle","A strong foundation of trust, support, and mutual growth","Pyramid","Shared values, goals, and aspirations for the future","Laurel"
"IE","What is your approach to personal growth and development?","Focusing on building a strong foundation and developing self-awareness before pursuing new goals","Pier","Embracing new experiences and challenges to push your limits and broaden your perspective","Cable","Reflecting on past experiences and lessons learned to inform your personal growth journey","Chronicle","Consistently working towards improvement","Pyramid","Seeking out diverse perspectives and knowledge to continuously learn and evolve","Laurel"
"IE","Which of the following is most important to you in a community?","Service to others and the environment","Pier","Personal growth and self-discovery","Cable","Mutual respect and understanding","Chronicle","Innovation and creative problem-solving","Pyramid","Individuality and self-expression","Laurel"
